INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
University of California-San Francisco,NULL,NULL,NULL,1,NULL,NULL,4,San Francisco,CA
University of California-Santa Barbara,1218,0.4631,18974,1,31603,0.8022,3,Santa Barbara,CA
University of California-Santa Cruz,1129,0.6729,15978,1,32914,0.7448,3,Santa Cruz,CA
Sofia University,NULL,NULL,NULL,2,NULL,NULL,4,Palo Alto,CA
California Beauty School,NULL,NULL,114,3,NULL,NULL,1,Modesto,CA
California Christian College,NULL,0.875,25,2,18897,0.25,3,Fresno,CA
California College-San Diego,NULL,NULL,1139,3,26549,0.6017,2,San Diego,CA
Le Cordon Bleu College of Culinary Arts,NULL,NULL,605,3,22862,NULL,2,San Francisco,CA
California Hair Design Academy,NULL,NULL,218,3,NULL,NULL,1,La Mesa,CA
California Institute of the Arts,NULL,0.2472,938,2,55761,0.5513,3,Valencia,CA
California Maritime Academy,1062,0.7166,971,1,22778,0.5793,3,Vallejo,CA
California Western School of Law,NULL,NULL,NULL,2,NULL,NULL,4,San Diego,CA
Canada College,NULL,NULL,5394,1,11075,NULL,2,Redwood City,CA
College of the Canyons,NULL,NULL,13875,1,11119,NULL,2,Santa Clarita,CA
Career Academy of Beauty,NULL,NULL,179,3,NULL,NULL,1,Garden Grove,CA
Casa Loma College-Van Nuys,NULL,NULL,581,2,NULL,NULL,1,Van Nuys,CA
CET-San Diego,NULL,NULL,267,2,NULL,NULL,1,San Diego,CA
CET-Sobrato,NULL,NULL,468,2,NULL,NULL,1,San Jose,CA
CET-El Centro,NULL,NULL,255,2,NULL,NULL,1,El Centro,CA
CET-San Bernardino,NULL,NULL,164,2,NULL,NULL,1,San Bernardino,CA
CET-Watsonville,NULL,NULL,114,2,NULL,NULL,1,Watsonville,CA
CET-Gilroy,NULL,NULL,143,2,NULL,NULL,1,Gilroy,CA
CET-Salinas,NULL,NULL,78,2,NULL,NULL,1,Salinas,CA
Cerritos College,NULL,NULL,19459,1,8354,NULL,2,Norwalk,CA
Cerro Coso Community College,NULL,NULL,4019,1,11752,NULL,2,Ridgecrest,CA
Chabot College,NULL,NULL,12086,1,11351,NULL,2,Hayward,CA
Chaffey College,NULL,NULL,15814,1,13065,NULL,2,Rancho Cucamonga,CA
Chapman University,1216,0.4359,5641,2,55395,0.7227,3,Orange,CA
Charles R Drew University of Medicine and Science,NULL,0.3947,96,2,18393,0,2,Los Angeles,CA
Concordia University-Irvine,1040,0.6947,1729,2,39895,0.5182,3,Irvine,CA
San Diego Christian College,921,0.4262,728,2,35449,0.4286,3,El Cajon,CA
Church Divinity School of the Pacific,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
Citrus College,NULL,NULL,10277,1,8361,NULL,2,Glendora,CA
Citrus Heights Beauty College,NULL,NULL,71,3,NULL,NULL,1,Citris Heights,CA
City College of San Francisco,NULL,NULL,27680,1,9591,NULL,1,San Francisco,CA
Claremont Graduate University,NULL,NULL,NULL,2,NULL,NULL,4,Claremont,CA
Claremont McKenna College,1394,0.136,1254,2,57865,0.9218,3,Claremont,CA
Milan Institute-Visalia,NULL,NULL,333,3,NULL,NULL,1,Visalia,CA
Clovis Adult Education,NULL,NULL,456,1,NULL,NULL,1,Clovis,CA
Coastline Community College,NULL,NULL,7705,1,11234,NULL,2,Fountain Valley,CA
Cogswell College,NULL,0.9195,387,3,32677,0.5882,3,Sunnyvale,CA
Coleman University,NULL,1,667,2,29815,0.5897,1,San Diego,CA
COBA Academy,NULL,NULL,50,3,NULL,NULL,1,Orange,CA
Western University of Health Sciences,NULL,NULL,NULL,2,NULL,NULL,4,Pomona,CA
Columbia College,NULL,NULL,2460,1,9720,NULL,2,Sonora,CA
Columbia College Hollywood,NULL,0.5355,359,2,29920,0.1964,3,Tarzana,CA
El Camino College-Compton Center,NULL,NULL,6604,1,13433,NULL,2,Compton,CA
Western Beauty Institute,NULL,NULL,347,3,NULL,NULL,1,Panorama City,CA
Contra Costa College,NULL,NULL,5567,1,15602,NULL,2,San Pablo,CA
Cosumnes River College,NULL,NULL,13077,1,13480,NULL,2,Sacramento,CA
Crafton Hills College,NULL,NULL,4490,1,16077,NULL,2,Yucaipa,CA
Cuesta College,NULL,NULL,8537,1,13758,NULL,2,San Luis Obispo,CA
Cuyamaca College,NULL,NULL,7442,1,7068,NULL,2,El Cajon,CA
Cypress College,NULL,NULL,14244,1,10574,NULL,1,Cypress,CA
De Anza College,NULL,NULL,21147,1,9410,NULL,2,Cupertino,CA
Marinello Schools of Beauty-Hemet,NULL,NULL,678,3,NULL,NULL,1,Hemet,CA
International School of Beauty Inc,NULL,NULL,233,3,NULL,NULL,1,Palm Desert,CA
Dell'Arte International School of Physical Theatre,NULL,0.7727,24,2,NULL,NULL,1,Blue Lake,CA
College of the Desert,NULL,NULL,8114,1,13334,NULL,2,Palm Desert,CA
Design Institute of San Diego,NULL,NULL,204,3,28432,0.5,3,San Diego,CA
DeVry University-California,NULL,0.8347,9022,3,28441,0.3306,3,Pomona,CA
Diablo Valley College,NULL,NULL,18489,1,14141,NULL,1,Pleasant Hill,CA
Dominican University of California,1059,0.5582,1600,2,56000,0.5665,3,San Rafael,CA
